,id_tfmk,nombre,url_tfmk,nombre_tfmk,bandera,fecha_nacimiento,edad,pais,altura,posicion,pie,fecha_fichaje,id_equipo
8573,403898,Jordan Beyer,/jordan-beyer/profil/spieler/403898,jordan-beyer,https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525,19/05/2000,23,Alemania,1.87,Defensa central,derecho,01/07/2023,1132
8574,620598,Ameen Al-Dakhil,/ameen-al-dakhil/profil/spieler/620598,ameen-al-dakhil,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,06/03/2002,21,Bélgica,1.87,Defensa central,derecho,13/01/2023,1132
8575,401320,Dara O'Shea,/dara-oshea/profil/spieler/401320,dara-oshea,https://tmssl.akamaized.net/images/flagge/verysmall/72.png?lm=1520611569,04/03/1999,24,Irlanda,1.89,Defensa central,derecho,01/07/2023,1132
8576,392179,Hjalmar Ekdal,/hjalmar-ekdal/profil/spieler/392179,hjalmar-ekdal,https://tmssl.akamaized.net/images/flagge/verysmall/147.png?lm=1520611569,21/10/1998,25,Suecia,1.87,Defensa central,derecho,21/01/2023,1132
8577,842341,Maxime Estève,/maxime-esteve/profil/spieler/842341,maxime-esteve,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,26/05/2002,21,Francia,1.93,Defensa central,izquierdo,01/02/2024,1132
8578,338635,Hannes Delcroix,/hannes-delcroix/profil/spieler/338635,hannes-delcroix,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,28/02/1999,24,Bélgica,1.83,Defensa central,izquierdo,22/08/2023,1132
8579,195633,Charlie Taylor,/charlie-taylor/profil/spieler/195633,charlie-taylor,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,18/09/1993,30,Inglaterra,1.83,Lateral izquierdo,izquierdo,06/07/2017,1132
8580,711969,Lorenz Assignon,/lorenz-assignon/profil/spieler/711969,lorenz-assignon,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,22/06/2000,23,Francia,1.81,Lateral derecho,derecho,01/02/2024,1132
8581,468249,Vitinho,/vitinho/profil/spieler/468249,vitinho,https://tmssl.akamaized.net/images/flagge/verysmall/26.png?lm=1520611569,23/07/1999,24,Brasil,1.74,Lateral derecho,derecho,28/07/2022,1132
8582,333014,Sander Berge,/sander-berge/profil/spieler/333014,sander-berge,https://tmssl.akamaized.net/images/flagge/verysmall/125.png?lm=1520611569,14/02/1998,25,Noruega,1.95,Pivote,derecho,09/08/2023,1132
8583,536508,Han-Noah Massengo,/han-noah-massengo/profil/spieler/536508,han-noah-massengo,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,07/07/2001,22,Francia,1.78,Pivote,derecho,31/08/2023,1132
8584,40613,Jack Cork,/jack-cork/profil/spieler/40613,jack-cork,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,25/06/1989,34,Inglaterra,1.85,Pivote,derecho,11/07/2017,1132
8585,293569,Josh Brownhill,/josh-brownhill/profil/spieler/293569,josh-brownhill,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,19/12/1995,28,Inglaterra,1.79,Mediocentro,derecho,30/01/2020,1132
8586,242606,Josh Cullen,/josh-cullen/profil/spieler/242606,josh-cullen,https://tmssl.akamaized.net/images/flagge/verysmall/72.png?lm=1520611569,07/04/1996,27,Irlanda,1.75,Mediocentro,derecho,12/07/2022,1132
8587,646658,Aaron Ramsey,/aaron-ramsey/profil/spieler/646658,aaron-ramsey,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,21/01/2003,21,Inglaterra,1.81,Mediocentro ofensivo,derecho,22/08/2023,1132
8588,381963,Mike Trésor,/mike-tresor/profil/spieler/381963,mike-tresor,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,28/05/1999,24,Bélgica,1.72,Extremo izquierdo,derecho,01/09/2023,1132
8589,743498,Wilson Odobert,/wilson-odobert/profil/spieler/743498,wilson-odobert,https://tmssl.akamaized.net/images/flagge/verysmall/50.png?lm=1520611569,28/11/2004,19,Francia,1.82,Extremo izquierdo,derecho,12/08/2023,1132
8590,745461,Luca Koleosho,/luca-koleosho/profil/spieler/745461,luca-koleosho,https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569,15/09/2004,19,Italia,1.75,Extremo izquierdo,derecho,25/07/2023,1132
8591,293281,Jacob Bruun Larsen,/jacob-bruun-larsen/profil/spieler/293281,jacob-bruun-larsen,https://tmssl.akamaized.net/images/flagge/verysmall/39.png?lm=1520611569,19/09/1998,25,Dinamarca,1.83,Extremo izquierdo,derecho,27/07/2023,1132
8592,129078,Nathan Redmond,/nathan-redmond/profil/spieler/129078,nathan-redmond,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,06/03/1994,29,Inglaterra,1.73,Extremo derecho,derecho,21/07/2023,1132
8593,322702,Benson Manuel,/benson-manuel/profil/spieler/322702,benson-manuel,https://tmssl.akamaized.net/images/flagge/verysmall/19.png?lm=1520611569,28/03/1997,26,Bélgica,1.66,Extremo derecho,izquierdo,04/08/2022,1132
8594,89231,Jóhann Berg Gudmundsson,/johann-berg-gudmundsson/profil/spieler/89231,johann-berg-gudmundsson,https://tmssl.akamaized.net/images/flagge/verysmall/73.png?lm=1520611569,27/10/1990,33,Islandia,1.86,Extremo derecho,izquierdo,19/07/2016,1132
8595,548729,Zeki Amdouni,/zeki-amdouni/profil/spieler/548729,zeki-amdouni,https://tmssl.akamaized.net/images/flagge/verysmall/148.png?lm=1520611569,04/12/2000,23,Suiza,1.85,Delantero centro,ambidiestro,19/07/2023,1132
8596,467623,Lyle Foster,/lyle-foster/profil/spieler/467623,lyle-foster,https://tmssl.akamaized.net/images/flagge/verysmall/159.png?lm=1520611569,03/09/2000,23,Sudáfrica,1.85,Delantero centro,derecho,25/01/2023,1132
8597,787232,David Datro Fofana,/david-datro-fofana/profil/spieler/787232,david-datro-fofana,https://tmssl.akamaized.net/images/flagge/verysmall/38.png?lm=1520611569,22/12/2002,21,Costa de Marfil,1.80,Delantero centro,derecho,13/01/2024,1132
8598,53360,Jay Rodríguez,/jay-rodriguez/profil/spieler/53360,jay-rodriguez,https://tmssl.akamaized.net/images/flagge/verysmall/189.png?lm=1520611569,29/07/1989,34,Inglaterra,1.85,Delantero centro,derecho,09/07/2019,1132
