id_jugador,nombre,url_jugador,nombre_tfmk,fecha_nacimiento,edad,id_pais,altura,posicion,id_club_anterior,pie,fecha_fichaje,id_club,id_temporada,foto_jugador
413439,Allan Arigoni,/allan-arigoni/profil/spieler/413439,allan-arigoni,04/11/1998,22,148,1.84,Lateral derecho,5502,derecho,01/07/2018,504,2020,413439
354335,Djibril Diani,/djibril-diani/profil/spieler/354335,djibril-diani,11/02/1998,23,50,1.95,Pivote,5502,izquierdo,14/12/2018,504,2020,354335
61743,André Santos,/andre-santos/profil/spieler/61743,andre-santos,02/03/1989,32,136,1.80,Pivote,2457,derecho,28/08/2020,504,2020,61743
184382,Ming-Yang Yang,/ming-yang-yang/profil/spieler/184382,ming-yang-yang,11/07/1995,25,148,1.75,Pivote,543,derecho,17/08/2020,504,2020,184382
337787,Connor Ronan,/connor-ronan/profil/spieler/337787,connor-ronan,06/03/1998,23,72,1.71,Mediocentro,543,derecho,23/08/2020,504,2020,337787
538633,Nuno Pina,/nuno-pina/profil/spieler/538633,nuno-pina,31/03/1999,22,136,1.84,Mediocentro,862,derecho,01/09/2020,504,2020,538633
237673,Nikola Gjorgjev,/nikola-gjorgjev/profil/spieler/237673,nikola-gjorgjev,22/08/1997,23,100,1.74,Interior derecho,14543,derecho,01/01/2015,504,2020,237673
203111,Nuno da Silva,/nuno-da-silva/profil/spieler/203111,nuno-da-silva,14/03/1994,27,136,1.70,Interior derecho,938,izquierdo,08/02/2021,504,2020,203111
659353,Filipe de Carvalho,/filipe-de-carvalho/profil/spieler/659353,filipe-de-carvalho,01/12/2003,17,148,1.76,Interior izquierdo,5502,derecho,24/01/2021,504,2020,659353
390169,Petar Pusic,/petar-pusic/profil/spieler/390169,petar-pusic,25/01/1999,22,148,1.71,Mediocentro ofensivo,14543,izquierdo,01/02/2017,504,2020,390169
413461,Giotto Morandi,/giotto-morandi/profil/spieler/413461,giotto-morandi,04/03/1999,22,148,1.81,Mediocentro ofensivo,5502,izquierdo,01/07/2019,504,2020,413461
500758,Randy Schneider,/randy-schneider/profil/spieler/500758,randy-schneider,27/08/2001,19,148,1.70,Mediocentro ofensivo,-,derecho,,504,2020,500758
480452,Hicham Acheffay,/hicham-acheffay/profil/spieler/480452,hicham-acheffay,10/08/2000,20,122,1.69,Extremo izquierdo,17596,derecho,20/01/2021,504,2020,480452
198005,Cristian Ponde,/cristian-ponde/profil/spieler/198005,cristian-ponde,26/01/1995,26,136,1.81,Extremo derecho,515,derecho,25/08/2020,504,2020,198005
500771,Robin Kalem,/robin-kalem/profil/spieler/500771,robin-kalem,14/07/2002,18,40,1.81,Extremo derecho,14543,derecho,17/06/2020,504,2020,500771
345235,Oscar Correia,/oscar-correia/profil/spieler/345235,oscar-correia,28/09/1997,23,148,1.80,Extremo derecho,1292,izquierdo,01/07/2020,504,2020,345235
342482,André Ribeiro,/andre-ribeiro/profil/spieler/342482,andre-ribeiro,09/06/1997,24,136,1.78,Mediapunta,257,derecho,10/02/2021,504,2020,342482
181781,Léo Bonatini,/leo-bonatini/profil/spieler/181781,leo-bonatini,28/03/1994,27,26,1.85,Delantero centro,543,derecho,22/09/2020,504,2020,181781
294583,Shkelqim Demhasaj,/shkelqim-demhasaj/profil/spieler/294583,shkelqim-demhasaj,19/04/1996,25,244,1.91,Delantero centro,434,derecho,01/07/2020,504,2020,294583
543513,Elmin Rastoder,/elmin-rastoder/profil/spieler/543513,elmin-rastoder,07/10/2001,19,148,1.91,Delantero centro,5502,derecho,07/04/2022,504,2020,543513
82145,Yan Heil,/yan-heil/profil/spieler/82145,yan-heil,05/09/1990,28,99,1.86,Portero,40824,ambidiestro,01/07/2022,19689,2018,82145
79904,Jérôme Winckel,/jerome-winckel/profil/spieler/79904,jerome-winckel,20/12/1985,33,99,1.82,Portero,-, ,01/07/2022,19689,2018,79904
549030,Elvedin Muhovic,/elvedin-muhovic/profil/spieler/549030,elvedin-muhovic,02/06/2000,19,99,-,Portero,20245, ,01/07/2018,19689,2018,549030
446165,Ricardo Borges Alves,/ricardo-borges-alves/profil/spieler/446165,ricardo-borges-alves,20/06/1999,20,99,-,Defensa,20245, ,01/07/2016,19689,2018,446165
377066,Almedin Huremovic,/almedin-huremovic/profil/spieler/377066,almedin-huremovic,10/12/1992,26,216,-,Defensa,515, ,01/01/2018,19689,2018,377066
48011,Mateusz Siebert,/mateusz-siebert/profil/spieler/48011,mateusz-siebert,04/04/1989,30,135,1.85,Defensa central,6107,derecho,01/07/2012,19689,2018,48011
363519,Eric Schmit,/eric-schmit/profil/spieler/363519,eric-schmit,29/10/1999,19,99,-,Defensa central,20245,derecho,01/07/2016,19689,2018,363519
597876,Marcos Martins,/marcos-martins/profil/spieler/597876,marcos-martins,12/05/2000,19,99,-,Defensa central,20245, ,01/07/2018,19689,2018,597876
113057,Rafael Rodrigues,/rafael-rodrigues/profil/spieler/113057,rafael-rodrigues,16/02/1989,30,99,-,Lateral izquierdo,33342, ,01/07/2022,19689,2018,113057
564125,Bryan Maison,/bryan-maison/profil/spieler/564125,bryan-maison,04/07/1997,21,50,-,Lateral izquierdo,27158, ,01/01/2018,19689,2018,564125
361567,Raoul Giger,/raoul-giger/profil/spieler/361567,raoul-giger,29/10/1997,23,148,1.80,Lateral derecho,8087,derecho,01/07/2017,116,2020,361567
265258,Arijan Qollaku,/arijan-qollaku/profil/spieler/265258,arijan-qollaku,04/02/1997,24,3,1.82,Lateral derecho,1277,derecho,23/09/2020,116,2020,265258
34600,Jérôme Thiesson,/jerome-thiesson/profil/spieler/34600,jerome-thiesson,06/08/1987,33,148,1.78,Lateral derecho,8463, ,01/07/2019,116,2020,34600
25542,Elsad Zverotic,/elsad-zverotic/profil/spieler/25542,elsad-zverotic,31/10/1986,34,216,1.79,Lateral derecho,321,derecho,01/07/2018,116,2020,25542
629390,Silvan Schwegler,/silvan-schwegler/profil/spieler/629390,silvan-schwegler,04/09/2003,17,148,1.75,Pivote,21243,derecho,12/08/2020,116,2020,629390
167190,Olivier Jäckle,/olivier-jackle/profil/spieler/167190,olivier-jackle,07/01/1993,28,148,1.83,Pivote,8087,derecho,01/01/2012,116,2020,167190
303837,Mats Hammerich,/mats-hammerich/profil/spieler/303837,mats-hammerich,12/02/1998,23,148,1.83,Pivote,21243,derecho,01/01/2016,116,2020,303837
728151,Devran Senyurt,/devran-senyurt/profil/spieler/728151,devran-senyurt,22/08/2004,16,174,1.78,Pivote,21243,derecho,30/03/2021,116,2020,728151
542470,Liridon Balaj,/liridon-balaj/profil/spieler/542470,liridon-balaj,15/08/1999,21,244,1.74,Interior derecho,14617,izquierdo,07/08/2019,116,2020,542470
534360,Donat Rrudhani,/donat-rrudhani/profil/spieler/534360,donat-rrudhani,02/05/1999,22,244,1.88,Interior derecho,10724,izquierdo,09/08/2019,116,2020,534360
235485,Miguel Peralta,/miguel-peralta/profil/spieler/235485,miguel-peralta,24/12/1995,25,157,1.86,Interior derecho,747,derecho,01/07/2014,116,2020,235485
86788,Marco Aratore,/marco-aratore/profil/spieler/86788,marco-aratore,04/06/1991,30,148,1.77,Interior izquierdo,11127,derecho,28/09/2020,116,2020,86788
500758,Randy Schneider,/randy-schneider/profil/spieler/500758,randy-schneider,27/08/2001,19,148,1.70,Mediocentro ofensivo,5502,derecho,01/07/2021,116,2020,500758
636756,Milot Avdyli,/milot-avdyli/profil/spieler/636756,milot-avdyli,28/07/2002,18,244,1.80,Mediocentro ofensivo,22682,derecho,01/02/2021,116,2020,636756
371554,Kevin Spadanuda,/kevin-spadanuda/profil/spieler/371554,kevin-spadanuda,16/01/1997,24,148,1.77,Extremo izquierdo,747,derecho,01/07/2019,116,2020,371554
32704,Shkëlzen Gashi,/shkelzen-gashi/profil/spieler/32704,shkelzen-gashi,15/07/1988,32,3,1.82,Extremo izquierdo,515,izquierdo,02/01/2020,116,2020,32704
231215,Petar Misic,/petar-misic/profil/spieler/231215,petar-misic,24/07/1994,26,37,1.76,Extremo derecho,314,izquierdo,25/07/2017,116,2020,231215
631851,Hasan Karakurd,/hasan-karakurd/profil/spieler/631851,hasan-karakurd,07/07/2004,16,174,1.80,Extremo derecho,-, ,,116,2020,631851
464195,Filip Stojilkovic,/filip-stojilkovic/profil/spieler/464195,filip-stojilkovic,04/01/2000,21,148,1.86,Delantero centro,321,derecho,02/10/2020,116,2020,464195
413215,Mickaël Almeida,/mickael-almeida/profil/spieler/413215,mickael-almeida,27/01/1999,22,136,1.80,Delantero centro,510,derecho,07/07/2021,116,2020,413215
457001,Ersan Hajdari,/ersan-hajdari/profil/spieler/457001,ersan-hajdari,05/05/2001,20,100,1.76,Delantero centro,21243,derecho,12/08/2020,116,2020,457001
388214,Noah Boakye,/noah-boakye/profil/spieler/388214,noah-boakye,13/08/2001,19,148,1.80,Delantero centro,21243,derecho,06/01/2018,116,2020,388214
629409,Sead Selishta,/sead-selishta/profil/spieler/629409,sead-selishta,04/01/2003,18,148,1.84,Delantero centro,-,izquierdo,,116,2020,629409
199014,Niklas Bürger,/niklas-burger/profil/spieler/199014,niklas-burger,07/10/1992,26,40,-,Portero,75,izquierdo,01/07/2009,2660,2018,199014
290995,Tim Lieser,/tim-lieser/profil/spieler/290995,tim-lieser,03/02/1995,24,40,,Portero,19937,,01/07/2014,2660,2018,290995
465785,Noé Bouché,/noe-bouche/profil/spieler/465785,noe-bouche,12/04/2001,18,99,-,Portero,23218, ,01/07/2018,2660,2018,465785
425717,Laurent Weis,/laurent-weis/profil/spieler/425717,laurent-weis,25/11/1996,22,99,-,Defensa,41277, ,01/07/2018,2660,2018,425717
273307,Gilles Feltes,/gilles-feltes/profil/spieler/273307,gilles-feltes,06/12/1995,23,99,-,Defensa central,2230,derecho,01/07/2016,2660,2018,273307
327596,Timo Heinz,/timo-heinz/profil/spieler/327596,timo-heinz,06/03/1991,28,40,-,Defensa central,442, ,01/07/2016,2660,2018,327596
